ano,mes,data,regiao,uf,cidade,cargo,senioridade,tecnologia,modalidade,salario_medio,quantidade_vagas,empresa_setor,nivel_demanda
2015,3,2015-03-01,Norte,TO,Palmas,DevOps,Sênior,Java,Remoto,8982.07,47,Saúde,Médio
2015,3,2015-03-01,Nordeste,BA,Salvador,Dev Frontend,Pleno,Power BI,Presencial,14512.56,37,Fintech,Médio
2015,3,2015-03-01,Nordeste,BA,Feira de Santana,Dev Frontend,Sênior,Power BI,Remoto,17704.66,47,Varejo,Alto
2015,3,2015-03-01,Nordeste,PE,Recife,DevOps,Sênior,JavaScript,Híbrido,8507.97,46,Fintech,Médio
2015,3,2015-03-01,Nordeste,PE,Jaboatão dos Guararapes,Dev Backend,Júnior,SQL,Remoto,15231.48,35,Governo,Alto
2015,3,2015-03-01,Nordeste,CE,Fortaleza,Cientista de Dados,Sênior,Power BI,Presencial,5571.86,41,Educação,Baixo
2015,3,2015-03-01,Nordeste,CE,Juazeiro do Norte,Dev Frontend,Sênior,Java,Híbrido,13295.94,50,Varejo,Crítico
2015,3,2015-03-01,Nordeste,MA,São Luís,DevOps,Sênior,SQL,Remoto,6381.29,32,Fintech,Baixo
2015,3,2015-03-01,Nordeste,PB,João Pessoa,Dev Frontend,Pleno,Python,Remoto,11491.31,39,Saúde,Crítico
2015,3,2015-03-01,Centro-Oeste,DF,Brasília,Cientista de Dados,Pleno,JavaScript,Híbrido,11976.04,41,Fintech,Baixo
2015,3,2015-03-01,Centro-Oeste,GO,Goiânia,Dev Backend,Pleno,Java,Remoto,13240.42,28,Governo,Baixo
2015,3,2015-03-01,Centro-Oeste,GO,Aparecida de Goiânia,Cientista de Dados,Pleno,SQL,Remoto,14018.57,29,Governo,Crítico
2015,3,2015-03-01,Centro-Oeste,MT,Cuiabá,Dev Backend,Júnior,SQL,Híbrido,17527.97,33,Governo,Alto
2015,3,2015-03-01,Centro-Oeste,MS,Campo Grande,Dev Backend,Júnior,Python,Remoto,10221.19,32,Governo,Baixo
2015,3,2015-03-01,Sudeste,SP,São Paulo,Analista de Dados,Sênior,JavaScript,Híbrido,10860.14,40,Varejo,Baixo
2015,3,2015-03-01,Sudeste,SP,Campinas,Dev Backend,Pleno,Java,Presencial,16696.23,38,Saúde,Alto
2015,3,2015-03-01,Sudeste,SP,Ribeirão Preto,Dev Backend,Pleno,SQL,Remoto,11074.22,39,Saúde,Médio
2015,3,2015-03-01,Sudeste,RJ,Rio de Janeiro,DevOps,Sênior,Python,Presencial,15620.93,40,Fintech,Crítico
2015,3,2015-03-01,Sudeste,RJ,Niterói,Cientista de Dados,Júnior,JavaScript,Presencial,13639.78,34,Educação,Baixo
2015,3,2015-03-01,Sudeste,RJ,Nova Iguaçu,Dev Frontend,Pleno,Java,Híbrido,17416.27,29,Educação,Alto
2015,3,2015-03-01,Sudeste,RJ,Petrópolis,Analista de Dados,Sênior,AWS,Presencial,13229.47,31,Fintech,Alto
2015,3,2015-03-01,Sudeste,MG,Belo Horizonte,Dev Frontend,Pleno,JavaScript,Híbrido,13805.82,43,Saúde,Alto
2015,3,2015-03-01,Sudeste,MG,Uberlândia,Dev Frontend,Sênior,Java,Híbrido,5289.85,43,Governo,Médio
2015,3,2015-03-01,Sudeste,MG,Juiz de Fora,Dev Backend,Júnior,JavaScript,Presencial,14426.72,49,Varejo,Baixo
2015,3,2015-03-01,Sudeste,ES,Vitória,DevOps,Sênior,SQL,Híbrido,12635.83,31,Governo,Baixo
2015,3,2015-03-01,Sudeste,ES,Vila Velha,Cientista de Dados,Júnior,Java,Híbrido,10912.12,36,Varejo,Baixo
2015,3,2015-03-01,Sudeste,ES,Serra,Dev Frontend,Pleno,Python,Presencial,9303.84,37,Fintech,Alto
2015,3,2015-03-01,Sul,PR,Curitiba,DevOps,Pleno,Python,Presencial,17175.44,45,Fintech,Alto
2015,3,2015-03-01,Sul,PR,Londrina,Analista de Dados,Sênior,Java,Remoto,16244.81,37,Fintech,Alto
2015,3,2015-03-01,Sul,SC,Florianópolis,Cientista de Dados,Pleno,JavaScript,Presencial,5169.26,43,Educação,Crítico
2015,3,2015-03-01,Sul,SC,Joinville,Dev Backend,Júnior,JavaScript,Remoto,3085.42,53,Fintech,Médio
2015,3,2015-03-01,Sul,RS,Porto Alegre,Dev Backend,Pleno,SQL,Presencial,11735.34,41,Governo,Crítico
2015,3,2015-03-01,Sul,RS,Caxias do Sul,Analista de Dados,Sênior,AWS,Presencial,17017.94,43,Varejo,Médio
2015,4,2015-04-01,Norte,AM,Manaus,Cientista de Dados,Sênior,Power BI,Híbrido,8283.11,39,Fintech,Crítico
2015,4,2015-04-01,Norte,PA,Belém,Analista de Dados,Júnior,AWS,Híbrido,11646.18,38,Fintech,Alto
2015,4,2015-04-01,Norte,PA,Santarém,Dev Frontend,Pleno,SQL,Remoto,4615.13,44,Saúde,Crítico
2015,4,2015-04-01,Norte,RO,Porto Velho,Analista de Dados,Júnior,Python,Presencial,4773.11,45,Varejo,Médio
2015,4,2015-04-01,Norte,TO,Palmas,DevOps,Pleno,JavaScript,Híbrido,3714.97,52,Fintech,Baixo
2015,4,2015-04-01,Nordeste,BA,Salvador,DevOps,Júnior,SQL,Presencial,8784.59,40,Varejo,Médio
2015,4,2015-04-01,Nordeste,BA,Feira de Santana,Dev Backend,Sênior,Java,Presencial,6547.81,42,Governo,Alto
2015,4,2015-04-01,Nordeste,PE,Recife,DevOps,Sênior,JavaScript,Presencial,11494.95,40,Governo,Alto
2015,4,2015-04-01,Nordeste,PE,Jaboatão dos Guararapes,DevOps,Sênior,Python,Remoto,11861.49,39,Governo,Baixo
2015,4,2015-04-01,Nordeste,CE,Fortaleza,Dev Backend,Júnior,Power BI,Remoto,7486.26,40,Fintech,Alto
2015,4,2015-04-01,Nordeste,CE,Juazeiro do Norte,Dev Frontend,Júnior,Python,Presencial,6336.79,35,Fintech,Baixo
2015,4,2015-04-01,Nordeste,MA,São Luís,Analista de Dados,Sênior,Python,Presencial,13451.31,42,Varejo,Crítico
2015,4,2015-04-01,Nordeste,PB,João Pessoa,Cientista de Dados,Júnior,JavaScript,Híbrido,15878.68,43,Fintech,Alto
2015,4,2015-04-01,Centro-Oeste,DF,Brasília,Analista de Dados,Pleno,Python,Presencial,5243.37,34,Varejo,Médio
2015,4,2015-04-01,Centro-Oeste,GO,Goiânia,DevOps,Sênior,JavaScript,Presencial,6870.3,36,Varejo,Médio
2015,4,2015-04-01,Centro-Oeste,GO,Aparecida de Goiânia,Analista de Dados,Júnior,Python,Híbrido,6876.29,36,Varejo,Médio
2015,4,2015-04-01,Centro-Oeste,MT,Cuiabá,Cientista de Dados,Sênior,Power BI,Híbrido,3396.34,39,Saúde,Médio
2015,4,2015-04-01,Centro-Oeste,MS,Campo Grande,Dev Backend,Pleno,Python,Híbrido,12623.41,33,Fintech,Médio
2015,4,2015-04-01,Sudeste,SP,São Paulo,Dev Frontend,Sênior,SQL,Remoto,17822.07,45,Varejo,Baixo
2015,4,2015-04-01,Sudeste,SP,Campinas,Analista de Dados,Júnior,AWS,Presencial,9372.93,40,Saúde,Crítico
2015,4,2015-04-01,Sudeste,SP,Ribeirão Preto,Cientista de Dados,Júnior,AWS,Híbrido,5510.19,39,Varejo,Médio
2015,4,2015-04-01,Sudeste,RJ,Rio de Janeiro,Analista de Dados,Júnior,SQL,Presencial,17783.22,32,Educação,Médio
2015,4,2015-04-01,Sudeste,RJ,Niterói,Analista de Dados,Pleno,JavaScript,Presencial,4077.36,37,Varejo,Baixo
2015,4,2015-04-01,Sudeste,RJ,Nova Iguaçu,DevOps,Pleno,JavaScript,Presencial,15595.52,42,Varejo,Baixo
2015,4,2015-04-01,Sudeste,RJ,Petrópolis,Cientista de Dados,Pleno,Java,Remoto,16619.26,36,Governo,Crítico
2015,4,2015-04-01,Sudeste,MG,Belo Horizonte,Analista de Dados,Pleno,Power BI,Híbrido,3195.87,46,Fintech,Crítico
2015,4,2015-04-01,Sudeste,MG,Uberlândia,Dev Backend,Sênior,Python,Presencial,9933.21,39,Saúde,Alto
2015,4,2015-04-01,Sudeste,MG,Juiz de Fora,DevOps,Pleno,JavaScript,Remoto,3659.47,39,Governo,Crítico
2015,4,2015-04-01,Sudeste,ES,Vitória,Analista de Dados,Sênior,Python,Remoto,10783.73,44,Educação,Baixo
2015,4,2015-04-01,Sudeste,ES,Vila Velha,DevOps,Júnior,AWS,Presencial,6147.49,34,Fintech,Crítico
2015,4,2015-04-01,Sudeste,ES,Serra,Dev Frontend,Sênior,Python,Híbrido,15456.15,54,Saúde,Médio
2015,4,2015-04-01,Sul,PR,Curitiba,Cientista de Dados,Pleno,Power BI,Híbrido,9451.31,42,Fintech,Crítico
2015,4,2015-04-01,Sul,PR,Londrina,Dev Backend,Pleno,Power BI,Remoto,6179.84,45,Fintech,Médio
2015,4,2015-04-01,Sul,SC,Florianópolis,DevOps,Sênior,Python,Remoto,3018.45,45,Governo,Alto
2015,4,2015-04-01,Sul,SC,Joinville,DevOps,Sênior,JavaScript,Híbrido,17041.28,48,Educação,Crítico
2015,4,2015-04-01,Sul,RS,Porto Alegre,DevOps,Sênior,AWS,Remoto,14809.29,49,Varejo,Alto
2015,4,2015-04-01,Sul,RS,Caxias do Sul,Dev Backend,Pleno,AWS,Presencial,10936.72,38,Saúde,Alto
2015,5,2015-05-01,Norte,AM,Manaus,DevOps,Pleno,Python,Híbrido,7219.01,31,Varejo,Alto
2015,5,2015-05-01,Norte,PA,Belém,Dev Frontend,Júnior,SQL,Híbrido,13903.45,50,Saúde,Alto
2015,5,2015-05-01,Norte,PA,Santarém,DevOps,Pleno,Java,Híbrido,5208.47,26,Governo,Médio
2015,5,2015-05-01,Norte,RO,Porto Velho,Analista de Dados,Sênior,Python,Híbrido,14574.14,37,Governo,Médio
2015,5,2015-05-01,Norte,TO,Palmas,Cientista de Dados,Pleno,Python,Presencial,14875.48,62,Saúde,Alto
2015,5,2015-05-01,Nordeste,BA,Salvador,Dev Backend,Júnior,Power BI,Híbrido,14525.98,42,Saúde,Baixo
2015,5,2015-05-01,Nordeste,BA,Feira de Santana,Dev Frontend,Sênior,JavaScript,Remoto,17061.73,33,Varejo,Baixo
2015,5,2015-05-01,Nordeste,PE,Recife,Dev Frontend,Sênior,SQL,Presencial,7282.02,41,Educação,Alto
2015,5,2015-05-01,Nordeste,PE,Jaboatão dos Guararapes,Analista de Dados,Pleno,Java,Presencial,9138.33,37,Governo,Baixo
2015,5,2015-05-01,Nordeste,CE,Fortaleza,DevOps,Pleno,AWS,Presencial,16629.08,42,Educação,Alto
2015,5,2015-05-01,Nordeste,CE,Juazeiro do Norte,Dev Backend,Júnior,SQL,Híbrido,9779.97,36,Fintech,Baixo
2015,5,2015-05-01,Nordeste,MA,São Luís,Dev Frontend,Pleno,JavaScript,Remoto,6693.35,48,Fintech,Baixo
2015,5,2015-05-01,Nordeste,PB,João Pessoa,Cientista de Dados,Júnior,SQL,Remoto,12577.57,35,Fintech,Médio
2015,5,2015-05-01,Centro-Oeste,DF,Brasília,DevOps,Júnior,Python,Presencial,16627.78,33,Governo,Baixo
2015,5,2015-05-01,Centro-Oeste,GO,Goiânia,Analista de Dados,Sênior,AWS,Híbrido,17273.78,36,Saúde,Médio
2015,5,2015-05-01,Centro-Oeste,GO,Aparecida de Goiânia,Analista de Dados,Júnior,Python,Remoto,7959.69,39,Governo,Crítico
2015,5,2015-05-01,Centro-Oeste,MT,Cuiabá,Analista de Dados,Júnior,Power BI,Presencial,12151.2,52,Fintech,Crítico
2015,5,2015-05-01,Centro-Oeste,MS,Campo Grande,Dev Backend,Pleno,JavaScript,Híbrido,13667.26,37,Varejo,Alto
2015,5,2015-05-01,Sudeste,SP,São Paulo,DevOps,Pleno,JavaScript,Presencial,15142.05,30,Saúde,Alto
2015,5,2015-05-01,Sudeste,SP,Campinas,Dev Backend,Pleno,Power BI,Remoto,17451.8,33,Varejo,Crítico
2015,5,2015-05-01,Sudeste,SP,Ribeirão Preto,Dev Backend,Júnior,Power BI,Híbrido,4671.09,43,Fintech,Alto
2015,5,2015-05-01,Sudeste,RJ,Rio de Janeiro,DevOps,Sênior,Java,Remoto,17230.57,45,Fintech,Médio
2015,5,2015-05-01,Sudeste,RJ,Niterói,DevOps,Júnior,Java,Híbrido,7547.61,41,Governo,Médio
2015,5,2015-05-01,Sudeste,RJ,Nova Iguaçu,Cientista de Dados,Júnior,Java,Presencial,9084.29,47,Governo,Baixo
2015,5,2015-05-01,Sudeste,RJ,Petrópolis,DevOps,Júnior,AWS,Remoto,5027.69,34,Fintech,Alto
2015,5,2015-05-01,Sudeste,MG,Belo Horizonte,Dev Frontend,Pleno,AWS,Remoto,10606.36,34,Governo,Médio
2015,5,2015-05-01,Sudeste,MG,Uberlândia,DevOps,Júnior,Python,Presencial,6008.37,42,Varejo,Crítico
2015,5,2015-05-01,Sudeste,MG,Juiz de Fora,Cientista de Dados,Júnior,SQL,Remoto,16604.35,40,Governo,Crítico
2015,5,2015-05-01,Sudeste,ES,Vitória,Cientista de Dados,Pleno,Java,Presencial,14002.75,34,Fintech,Baixo
2015,5,2015-05-01,Sudeste,ES,Vila Velha,Dev Backend,Sênior,Java,Remoto,8213.16,49,Fintech,Baixo
2015,5,2015-05-01,Sudeste,ES,Serra,Analista de Dados,Sênior,JavaScript,Presencial,4226.46,34,Saúde,Baixo
2015,5,2015-05-01,Sul,PR,Curitiba,Analista de Dados,Júnior,Power BI,Híbrido,14589.69,40,Educação,Alto
2015,5,2015-05-01,Sul,PR,Londrina,Dev Backend,Pleno,AWS,Presencial,11964.65,43,Governo,Crítico
2015,5,2015-05-01,Sul,SC,Florianópolis,Analista de Dados,Júnior,Java,Híbrido,17922.43,35,Fintech,Crítico
2015,5,2015-05-01,Sul,SC,Joinville,Cientista de Dados,Sênior,Power BI,Híbrido,15634.87,44,Governo,Médio
2015,5,2015-05-01,Sul,RS,Porto Alegre,DevOps,Júnior,Power BI,Presencial,13616.66,43,Governo,Crítico
2015,5,2015-05-01,Sul,RS,Caxias do Sul,Dev Backend,Sênior,SQL,Remoto,14041.01,53,Varejo,Alto
2015,6,2015-06-01,Norte,AM,Manaus,Dev Frontend,Pleno,JavaScript,Remoto,5481.93,30,Educação,Baixo
2015,6,2015-06-01,Norte,PA,Belém,Cientista de Dados,Júnior,JavaScript,Remoto,9817.4,41,Fintech,Alto
2015,6,2015-06-01,Norte,PA,Santarém,Dev Backend,Sênior,SQL,Híbrido,10692.41,33,Governo,Baixo
2015,6,2015-06-01,Norte,RO,Porto Velho,Cientista de Dados,Sênior,Python,Presencial,13178.37,38,Saúde,Crítico
2015,6,2015-06-01,Norte,TO,Palmas,Analista de Dados,Júnior,Java,Presencial,8671.19,49,Educação,Médio
2015,6,2015-06-01,Nordeste,BA,Salvador,Analista de Dados,Pleno,Power BI,Remoto,15413.69,43,Saúde,Alto
2015,6,2015-06-01,Nordeste,BA,Feira de Santana,Cientista de Dados,Sênior,AWS,Remoto,3805.45,39,Saúde,Baixo
2015,6,2015-06-01,Nordeste,PE,Recife,Dev Frontend,Júnior,SQL,Remoto,3440.53,39,Saúde,Alto
2015,6,2015-06-01,Nordeste,PE,Jaboatão dos Guararapes,Cientista de Dados,Pleno,JavaScript,Remoto,9399.01,37,Governo,Baixo
2015,6,2015-06-01,Nordeste,CE,Fortaleza,Analista de Dados,Júnior,SQL,Remoto,3535.47,42,Governo,Baixo
2015,6,2015-06-01,Nordeste,CE,Juazeiro do Norte,Dev Backend,Pleno,Power BI,Remoto,13737.85,35,Saúde,Médio
2015,6,2015-06-01,Nordeste,MA,São Luís,Dev Backend,Pleno,AWS,Presencial,11007.26,57,Fintech,Alto
2015,6,2015-06-01,Nordeste,PB,João Pessoa,Cientista de Dados,Júnior,Java,Híbrido,7267.91,37,Governo,Médio
2015,6,2015-06-01,Centro-Oeste,DF,Brasília,Cientista de Dados,Sênior,AWS,Presencial,6346.46,39,Saúde,Alto
2015,6,2015-06-01,Centro-Oeste,GO,Goiânia,Dev Backend,Sênior,Python,Híbrido,11343.6,35,Governo,Alto
2015,6,2015-06-01,Centro-Oeste,GO,Aparecida de Goiânia,Dev Backend,Pleno,JavaScript,Híbrido,8180.47,43,Educação,Alto
2015,6,2015-06-01,Centro-Oeste,MT,Cuiabá,Dev Frontend,Pleno,Python,Presencial,10833.75,41,Saúde,Crítico
2015,6,2015-06-01,Centro-Oeste,MS,Campo Grande,Analista de Dados,Júnior,AWS,Híbrido,6287.09,45,Varejo,Baixo
2015,6,2015-06-01,Sudeste,SP,São Paulo,Analista de Dados,Júnior,Java,Híbrido,4035.79,27,Educação,Médio
2015,6,2015-06-01,Sudeste,SP,Campinas,Dev Frontend,Sênior,Power BI,Híbrido,6957.93,40,Saúde,Crítico
2015,6,2015-06-01,Sudeste,SP,Ribeirão Preto,Dev Frontend,Sênior,Python,Presencial,9019.84,41,Saúde,Baixo
2015,6,2015-06-01,Sudeste,RJ,Rio de Janeiro,Analista de Dados,Pleno,Power BI,Presencial,3832.32,30,Governo,Alto
2015,6,2015-06-01,Sudeste,RJ,Niterói,DevOps,Sênior,Python,Remoto,17899.13,35,Saúde,Crítico
2015,6,2015-06-01,Sudeste,RJ,Nova Iguaçu,Analista de Dados,Sênior,Java,Remoto,13556.9,40,Governo,Alto
2015,6,2015-06-01,Sudeste,RJ,Petrópolis,Cientista de Dados,Sênior,AWS,Remoto,14705.99,56,Governo,Médio
